,strDrink,strCategory,strGlass,strIngredients,Alc_type,Basic_taste,strInstructions,strMeasures,Value_ml,Value_gr,Garnish_amount,Garnish_type
424,Bailey's Dream Shake,Soft Drink / Soda,Collins glass,Bailey'S Irish Cream,Creamy Liqueur,,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !,2 oz,60.0,,,
425,Bailey's Dream Shake,Soft Drink / Soda,Collins glass,Vanilla Ice-Cream,,cream,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !,2 scoops,120.0,,,
426,Bailey's Dream Shake,Soft Drink / Soda,Collins glass,Cream,,cream,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !,,,,,
427,Balmoral,Ordinary Drink,Cocktail glass,Bitters,Bitters,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",2 dashes,2.0,,,
428,Balmoral,Ordinary Drink,Cocktail glass,Sweet Vermouth,Vermouth,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1/2 oz,15.0,,,
429,Balmoral,Ordinary Drink,Cocktail glass,Dry Vermouth,Vermouth,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1/2 oz,15.0,,,
430,Balmoral,Ordinary Drink,Cocktail glass,Scotch,Whisky,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz,45.0,,,
431,Banana Daiquiri,Ordinary Drink,Champagne flute,Lime Juice,,sour,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 1/2 oz,45.0,,,
432,Banana Daiquiri,Ordinary Drink,Champagne flute,Banana,,sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1,,120.0,,
433,Banana Daiquiri,Ordinary Drink,Champagne flute,Sugar,,sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 tsp,,4.0,,
434,Banana Daiquiri,Ordinary Drink,Champagne flute,Cherry,,sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1,,,1,berry
435,Banana Daiquiri,Ordinary Drink,Champagne flute,Light Rum,Rum,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 1/2 oz,45.0,,,
436,Banana Daiquiri,Ordinary Drink,Champagne flute,Triple Sec,Triple Sec,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 tblsp,,14.0,,
437,Barracuda,Ordinary Drink,Margarita glass,Pineapple Juice,,sweet,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",6 cl,60.0,,,
438,Barracuda,Ordinary Drink,Margarita glass,Prosecco,Prosecco,,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",top up,,,0,top up
439,Barracuda,Ordinary Drink,Margarita glass,Galliano,Sweet Liqueur,,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",1.5 cl,15.0,,,
440,Barracuda,Ordinary Drink,Margarita glass,Lime Juice,,sour,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",1 dash,1.0,,,
441,Barracuda,Ordinary Drink,Margarita glass,Rum,Rum,,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",4.5 cl,45.0,,,
442,Belgian Blue,Soft Drink / Soda,Highball glass,Coconut Liqueur,Sweet Liqueur,,Just pour all ingredients in the glass and stir...,1 cl,10.0,,,
443,Belgian Blue,Soft Drink / Soda,Highball glass,Vodka,Vodka,,Just pour all ingredients in the glass and stir...,2 cl,20.0,,,
444,Belgian Blue,Soft Drink / Soda,Highball glass,Sprite,,sweet,Just pour all ingredients in the glass and stir...,fill with,,,0,top up
445,Belgian Blue,Soft Drink / Soda,Highball glass,Blue Curacao,Triple Sec,,Just pour all ingredients in the glass and stir...,1 cl,10.0,,,
446,Bellini,Ordinary Drink,Champagne Flute,Peach Schnapps,Schnapps,,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",1 oz,30.0,,,
447,Bellini,Ordinary Drink,Champagne Flute,Champagne,Champagne,,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",6 oz,180.0,,,
448,Bellini Martini,Ordinary Drink,Cocktail glass,Lemon Peel,,sour,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",1,30.0,,,
449,Bellini Martini,Ordinary Drink,Cocktail glass,Peach Schnapps,Schnapps,,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",1.5 oz,45.0,,,
450,Bellini Martini,Ordinary Drink,Cocktail glass,Peach Nectar,,sweet,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",1.5 oz,45.0,,,
451,Bellini Martini,Ordinary Drink,Cocktail glass,Vodka,Vodka,,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",3 oz,90.0,,,
452,Bermuda Highball,Ordinary Drink,Highball glass,Dry Vermouth,Vermouth,,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz,22.5,,,
453,Bermuda Highball,Ordinary Drink,Highball glass,Brandy,Brandy,,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz,22.5,,,
454,Bermuda Highball,Ordinary Drink,Highball glass,Lemon Peel,,sour,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,,,,
455,Bermuda Highball,Ordinary Drink,Highball glass,Carbonated Water,,water,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,,,,
456,Bermuda Highball,Ordinary Drink,Highball glass,Gin,Gin,,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz,22.5,,,
457,Berry Deadly,Punch / Party Drink,Collins Glass,Boone's Strawberry Hill Wine,Wine,,Add all ingredients to large bowl. Stir gently. Serve chilled.,1 bottle boone strawberry hill,750.0,,,
458,Berry Deadly,Punch / Party Drink,Collins Glass,Everclear,Vodka,,Add all ingredients to large bowl. Stir gently. Serve chilled.,2 pint,946.0,,,
459,Berry Deadly,Punch / Party Drink,Collins Glass,Orange Juice,,sweet,Add all ingredients to large bowl. Stir gently. Serve chilled.,1/2 gal,1892.5,,,
460,Berry Deadly,Punch / Party Drink,Collins Glass,Kool-Aid Tropical Berry,,sweet,Add all ingredients to large bowl. Stir gently. Serve chilled.,1 gal tropical berry,3785.0,,,
461,Between The Sheets,Ordinary Drink,Cocktail glass,Triple Sec,Triple Sec,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",1 oz,30.0,,,
462,Between The Sheets,Ordinary Drink,Cocktail glass,Brandy,Brandy,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",1 oz,30.0,,,
463,Between The Sheets,Ordinary Drink,Cocktail glass,Lemon Juice,,sour,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",1 oz,30.0,,,
464,Between The Sheets,Ordinary Drink,Cocktail glass,Light Rum,Rum,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",1 oz,30.0,,,
465,Bible Belt,Other/Unknown,Highball glass,Sour Mix,,sour,"Mix all ingredients, and pour over ice.",2 oz,60.0,,,
466,Bible Belt,Other/Unknown,Highball glass,Triple Sec,Triple Sec,,"Mix all ingredients, and pour over ice.",1/2 oz,15.0,,,
467,Bible Belt,Other/Unknown,Highball glass,Lime,,sour,"Mix all ingredients, and pour over ice.",2 wedges,60.0,,,
468,Bible Belt,Other/Unknown,Highball glass,Southern Comfort,Whisky,,"Mix all ingredients, and pour over ice.",2 oz,60.0,,,
469,Big Red,Shot,Shot glass,Irish Cream,Creamy Liqueur,,Pour ingredients into 1 ounce shot glass,1/2 oz,15.0,,,
470,Big Red,Shot,Shot glass,Goldschlager,Schnapps,,Pour ingredients into 1 ounce shot glass,1/2 oz,15.0,,,
471,Black & Tan,Beer,Pint glass,Ale,Beer,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,1 part bass pale,30.0,,,
472,Black & Tan,Beer,Pint glass,Guinness Stout,Beer,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,1 part,30.0,,,
473,Black Forest Shake,Milk / Float / Shake,Collins Glass,Milk,,cream,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.",,,,,
474,Black Forest Shake,Milk / Float / Shake,Collins Glass,Cherry Brandy,Brandy,,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.",,,,,
475,Black Forest Shake,Milk / Float / Shake,Collins Glass,Vodka,Vodka,,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.",,,,,
476,Black Forest Shake,Milk / Float / Shake,Collins Glass,Chocolate Syrup,,sweet,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.",,,,,
477,Black Russian,Ordinary Drink,Old-fashioned glass,Coffee Liqueur,,bitter,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,3/4 oz,22.5,,,
478,Black Russian,Ordinary Drink,Old-fashioned glass,Vodka,Vodka,,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,1 1/2 oz,45.0,,,
479,Black and Brown,Beer,Beer pilsner,Guinness Stout,Beer,,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,1/2,15.0,,,
480,Black and Brown,Beer,Beer pilsner,Root Beer,,sweet,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,1/2,15.0,,,
481,Blackthorn,Ordinary Drink,Cocktail glass,Lemon Peel,,sour,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 twist of,,,1,twist
482,Blackthorn,Ordinary Drink,Cocktail glass,Sloe Gin,Gin,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz,45.0,,,
483,Blackthorn,Ordinary Drink,Cocktail glass,Sweet Vermouth,Vermouth,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 oz,30.0,,,
484,Bleeding Surgeon,Soft Drink / Soda,Collins glass,Dark Rum,Rum,,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",1 shot,25.0,,,
485,Bleeding Surgeon,Soft Drink / Soda,Collins glass,Orange,,sweet,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",1 slice,,,1,slice
486,Bleeding Surgeon,Soft Drink / Soda,Collins glass,Surge,,sweet,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",1/2 glass,175.0,,,
487,Bleeding Surgeon,Soft Drink / Soda,Collins glass,Cranberry Juice,,sour,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",1/2 glass,175.0,,,
488,Blind Russian,Milk / Float / Shake,Collins glass,Bailey'S Irish Cream,Creamy Liqueur,,Fill glass with ice. Add all liquers. Add milk. shake.,3/4 oz,22.5,,,
489,Blind Russian,Milk / Float / Shake,Collins glass,Milk,,cream,Fill glass with ice. Add all liquers. Add milk. shake.,to fill,,,0,top up
490,Blind Russian,Milk / Float / Shake,Collins glass,Butterscotch Schnapps,Schnapps,,Fill glass with ice. Add all liquers. Add milk. shake.,1/2 oz,15.0,,,
491,Blind Russian,Milk / Float / Shake,Collins glass,Kahlua,Creamy Liqueur,,Fill glass with ice. Add all liquers. Add milk. shake.,3/4 oz,22.5,,,
492,Blind Russian,Milk / Float / Shake,Collins glass,Godiva Liqueur,Creamy Liqueur,,Fill glass with ice. Add all liquers. Add milk. shake.,3/4 oz,22.5,,,
493,Bloody Maria,Ordinary Drink,Old-fashioned glass,Lemon Juice,,sour,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 dash,1.0,,,
494,Bloody Maria,Ordinary Drink,Old-fashioned glass,Celery Salt,,salty,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 dash,1.0,,,
495,Bloody Maria,Ordinary Drink,Old-fashioned glass,Tomato Juice,,salty,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,2 oz,60.0,,,
496,Bloody Maria,Ordinary Drink,Old-fashioned glass,Tabasco Sauce,,spicy,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 dash,1.0,,,
497,Bloody Maria,Ordinary Drink,Old-fashioned glass,Tequila,Tequila,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 oz,30.0,,,
498,Bloody Maria,Ordinary Drink,Old-fashioned glass,Lemon,,sour,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 slice,,,1,slice
499,Bloody Mary,Ordinary Drink,Old-fashioned glass,Lemon Juice,,sour,"Stirring gently, pour all ingredients into highball glass. Garnish.",1 dash,1.0,,,
500,Bloody Mary,Ordinary Drink,Old-fashioned glass,Tomato Juice,,salty,"Stirring gently, pour all ingredients into highball glass. Garnish.",3 oz,90.0,,,
501,Bloody Mary,Ordinary Drink,Old-fashioned glass,Vodka,Vodka,,"Stirring gently, pour all ingredients into highball glass. Garnish.",1 1/2 oz,45.0,,,
502,Bloody Mary,Ordinary Drink,Old-fashioned glass,Tabasco Sauce,,spicy,"Stirring gently, pour all ingredients into highball glass. Garnish.",2-3 drops,2.5,,,
503,Bloody Mary,Ordinary Drink,Old-fashioned glass,Worcestershire Sauce,,salty,"Stirring gently, pour all ingredients into highball glass. Garnish.",1/2 tsp,,2.0,,
504,Bloody Mary,Ordinary Drink,Old-fashioned glass,Lime,,sour,"Stirring gently, pour all ingredients into highball glass. Garnish.",1 wedge,,,1,wedge
505,Blue Lagoon,Ordinary Drink,Highball glass,Lemonade,,sour,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",,,,,
506,Blue Lagoon,Ordinary Drink,Highball glass,Blue Curacao,Triple Sec,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",1 oz,30.0,,,
507,Blue Lagoon,Ordinary Drink,Highball glass,Vodka,Vodka,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",1 oz,30.0,,,
508,Blue Lagoon,Ordinary Drink,Highball glass,Cherry,,sweet,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",,,,1,berry
509,Blue Margarita,Ordinary Drink,Cocktail glass,Lime Juice,,sour,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",1 oz,30.0,,,
510,Blue Margarita,Ordinary Drink,Cocktail glass,Salt,,salty,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",coarse,,,0.36,around the rim
511,Blue Margarita,Ordinary Drink,Cocktail glass,Blue Curacao,Triple Sec,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",1 oz,30.0,,,
512,Blue Margarita,Ordinary Drink,Cocktail glass,Tequila,Tequila,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",1 1/2 oz,45.0,,,
513,Blue Mountain,Ordinary Drink,Old-fashioned glass,Añejo Rum,Rum,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1 1/2 oz,45.0,,,
514,Blue Mountain,Ordinary Drink,Old-fashioned glass,Orange Juice,,sweet,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1 oz,30.0,,,
515,Blue Mountain,Ordinary Drink,Old-fashioned glass,Lemon Juice,,sour,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1 tsp,,4.0,,
516,Blue Mountain,Ordinary Drink,Old-fashioned glass,Tia Maria,Creamy Liqueur,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1/2 oz,15.0,,,
517,Blue Mountain,Ordinary Drink,Old-fashioned glass,Vodka,Vodka,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1/2 oz,15.0,,,
518,Bluebird,Ordinary Drink,Cocktail glass,Maraschino Cherry,,sweet,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1,,,1,berry
519,Bluebird,Ordinary Drink,Cocktail glass,Triple Sec,Triple Sec,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1/2 oz,15.0,,,
520,Bluebird,Ordinary Drink,Cocktail glass,Gin,Gin,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1 1/2 oz,45.0,,,
521,Bluebird,Ordinary Drink,Cocktail glass,Blue Curacao,Triple Sec,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1/2 oz,15.0,,,
522,Bluebird,Ordinary Drink,Cocktail glass,Bitters,Bitters,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",2 dashes,2.0,,,
523,Bluebird,Ordinary Drink,Cocktail glass,Lemon Peel,,sour,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1 twist of,,,1,twist
524,Bob Marley,Shot,Shot glass,Goldschlager,Schnapps,,Layer in a 2 oz shot glass or pony glass,1/2 oz,15.0,,,
525,Bob Marley,Shot,Shot glass,Jägermeister,Bitters,,Layer in a 2 oz shot glass or pony glass,1/2 oz,15.0,,,
526,Bob Marley,Shot,Shot glass,Midori Melon Liqueur,Sweet Liqueur,,Layer in a 2 oz shot glass or pony glass,1/2 oz,15.0,,,
527,Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,Scotch,Whisky,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz,45.0,,,
528,Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,Sweet Vermouth,Vermouth,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz,45.0,,,
529,Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,Lemon Peel,,sour,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 twist of,,,1,twist
530,Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,Benedictine,Sweet Liqueur,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/4 tsp,,5.0,,
531,Boomerang,Ordinary Drink,Cocktail glass,Maraschino Cherry,,sweet,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",1,,,1,berry
532,Boomerang,Ordinary Drink,Cocktail glass,Gin,Gin,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",2 oz,60.0,,,
533,Boomerang,Ordinary Drink,Cocktail glass,Bitters,Bitters,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",2 dashes,2.0,,,
534,Boomerang,Ordinary Drink,Cocktail glass,Dry Vermouth,Vermouth,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",1/2 oz,15.0,,,
535,Boomerang,Ordinary Drink,Cocktail glass,Maraschino Liqueur,Sweet Liqueur,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",1/2 tsp,,2.0,,
536,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Caramel Sauce,,sweet,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",4 tablespoons,60.0,,,
537,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Godiva Liqueur,Creamy Liqueur,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",1/2 cup,,64.0,,
538,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Mini-Snickers Bars,,sweet,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",15,450.0,,,
539,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Vanilla Ice-Cream,,cream,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",3 cups,711.0,,,
540,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Milk,,cream,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",1 cup,,128.0,,
541,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Chocolate Sauce,,sweet,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",4 tablespoons,60.0,,,
542,Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,Whipped Cream,,cream,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",for topping,,,60,ml
543,Boston Sidecar,Ordinary Drink,Cocktail glass,Light Rum,Rum,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz,22.5,,,
544,Boston Sidecar,Ordinary Drink,Cocktail glass,Triple Sec,Triple Sec,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz,22.5,,,
545,Boston Sidecar,Ordinary Drink,Cocktail glass,Lime,,sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",juice of 1/2,15.0,,,
546,Boston Sidecar,Ordinary Drink,Cocktail glass,Brandy,Brandy,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz,22.5,,,
547,Boston Sour,Ordinary Drink,Whiskey sour glass,Egg White,,egg,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",1,45.0,,,
548,Boston Sour,Ordinary Drink,Whiskey sour glass,Powdered Sugar,,sweet,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",1 tsp,,4.0,,
549,Boston Sour,Ordinary Drink,Whiskey sour glass,Lemon,,sour,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",1 slice,,,1,slice
550,Boston Sour,Ordinary Drink,Whiskey sour glass,Lemon,,sour,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",juice of 1/2,22.5,,,
551,Boston Sour,Ordinary Drink,Whiskey sour glass,Cherry,,sweet,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",1,,,1,berry
552,Boston Sour,Ordinary Drink,Whiskey sour glass,Blended Whiskey,Whisky,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",2 oz,60.0,,,
553,Bourbon Sling,Ordinary Drink,Highball glass,Lemon Juice,,sour,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",1 oz,30.0,,,
554,Bourbon Sling,Ordinary Drink,Highball glass,Water,,water,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",2 tsp,,8.0,,
555,Bourbon Sling,Ordinary Drink,Highball glass,Bourbon,Whisky,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",2 oz,60.0,,,
556,Bourbon Sling,Ordinary Drink,Highball glass,Sugar Superfine,,sweet,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",1 tsp superfine,5.0,,,
